Idea_ID	Idea_Number	Idea_Author_ID	Idea_Author_Department	Idea_Author_Title	Up_Down	Voter_ID	Voter_Department	Voter_Title	Timestamp
273746	12	247848	Ü?D	Software Analyst	Up	247337	Ü?D	Software Architect	7/11/2017 7:39
273746	12	247848	Ü?D	Software Analyst	Up	247436	K?vTD	Software Analyst	7/13/2017 1:08
273746	12	247848	Ü?D	Software Analyst	Up	247462	KÖS?GD	Team Manager (IA)	7/21/2017 7:32
273746	12	247848	Ü?D	Software Analyst	Up	247527	ÇKBD	Software Analyst	7/11/2017 7:20
273746	12	247848	Ü?D	Software Analyst	Up	247536	K?vTD	Software Analyst	7/14/2017 1:27
273746	12	247848	Ü?D	Software Analyst	Up	247554	K?vTD	Software Analyst	7/21/2017 4:01
273746	12	247848	Ü?D	Software Analyst	Up	247573	Ü?D	Software Architect	7/11/2017 7:27
273746	12	247848	Ü?D	Software Analyst	Up	247672	Ü?D	Software Architect	7/11/2017 23:37
273746	12	247848	Ü?D	Software Analyst	Up	247677	SAvS?D	Software Analyst	7/25/2017 0:57
273746	12	247848	Ü?D	Software Analyst	Up	247683	Ü?D	Software Engineer	7/20/2017 6:28
273746	12	247848	Ü?D	Software Analyst	Up	247698	K?vTD	Manager	7/13/2017 14:06
